Context,Behavior,Definition,Detail Page URL
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Drinking (14),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=68&cvid=MzM1LDMzNiwzMzcsMzM4LDMzOSwzNDAsMzQxLDM0MiwzNDMsMzQ0LDM0NSwxNzAxLDE5NTYsMTk1Nw==
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Dusting (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=70&cvid=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Legs-Crossed (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=355&cvid=MjI0Mw==
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Lie-Down (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=364&cvid=MTc4NywxNzg4LDIyNDcsMjcxNA==
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Moving-While-Feeding (12),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=300&cvid=MjUyLDI1MywyNTQsMjU1LDI1NiwyNTcsMjU4LDI1OSwyNjAsMTkxNSwxOTE2LDI3NTY=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Mud-Splashing (9),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=157&cvid=MTI3OCwxMjc5LDE5MTIsMTkxMywxOTE0LDIxMzEsMjEzMiwyNzQ0LDI3NDU=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Mud-Wallowing (7),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=158&cvid=NDUzLDQ1NCw0NTUsNDU2LDIxMjgsMjEyOSwyMTMw
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Penis-Erection (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=172&cvid=ODgxLDg4Miw4ODM=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Resting (7),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=198&cvid=MTU3OSwxNTgwLDE1ODEsMTg4MCwxODgxLDE4ODIsMTg4Mw==
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Resting-Trunk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=332&cvid=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Silly-Trunk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=319&cvid=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Sneeze (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=325&cvid=MTMwNSwxMzA2
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Snorkel (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=365&cvid=Mjc5NiwyNzk3
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Standing (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=251&cvid=MjgxMg==
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Steady-with-Trunk (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=357&cvid=MTY3MA==
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Swimming (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=371&cvid=MTg5OCwyMjg4LDIyODk=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Thermoregulatory-Ear-Flapping (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=265&cvid=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Unnatural-Gait (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=386&cvid=MjA0OCwyODUy
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Urinating (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=292&cvid=MTI1MSwxMjUyLDIwMTA=
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Walking (20),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=299&cvid=NTgzLDU4NCw1ODUsNTg2LDU4Nyw1ODgsNTg5LDU5MCw1OTEsNTkyLDU5MywxNTQ5LDE4OTksMTkwMCwxOTAxLDE5MDIsMTkwMywxOTA0LDIxMTYsMjg1MQ==
MaintenanceBehaviors or activity states (excluding interaction) employed by elephants for basic subsistence.,Yawn (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=369&cvid=MjMwMiwyODUw
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Body-Nudge (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=23&cvid=MjIwMSwyMjAy
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Cadenced-Rumble (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=32&cvid=MTIyMCwxMjIxLDEyMjIsMjE5OA==
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Contact-Rumble (7),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=48&cvid=MTExNSwxMTE2LDExMTcsMjA1OCwyMDU5LDIwNjAsMjA2MQ==
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Displacement-Object-Play (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=316&cvid=MTMwMg==
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Ear-Flap-Slide (19),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=72&cvid=NTA0LDUwNSw1MDcsNTA4LDUwOSw1MTAsNTExLDUxMiw1MTMsNTE0LDUxNSw1MTYsNTE3LDUxOCw1MTksNTIwLDEzMjksMTMzMCwyMjE4
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Ear-Slap (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=76&cvid=MTAzMiwxMDMzLDEwMzQsMTAzNQ==
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Follow (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=358&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Foot-Lifting (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=103&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Foot-Swinging (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=106&cvid=MTUwLDE1MSwxNTIsMTUz
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Grasp-Trunk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=113&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Kick-Back (8),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=132&cvid=Nzk5LDgwMCw4MDEsODAyLDE4MTUsMjE4MSwyMTgyLDIyODI=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Legs-Crossed (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=355&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Lets-Go-Rumble (13),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=137&cvid=MTExMCwxMTExLDExMTIsMTExMywxMTE0LDE2NDksMTc4MywxNzg0LDIwODUsMjA4NiwyMjQ0LDIyNDUsMjMzNg==
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Look-Back (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=151&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Nasal-Trumpet (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=166&cvid=MTE4NQ==
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Purposeful-Walk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=190&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Pushing (13),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=191&cvid=NDI1LDQyNiw0MjcsODg3LDg4OCw4ODksODkwLDg5MSw4OTIsODkzLDg5NCwxNjYyLDIwOTI=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Tail-Swatting (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=261&cvid=NjAxLDYwMiw2MDMsNjA1LDYwNiw2MDc=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Trunk-Tuck (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=346&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Walk-Away (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=345&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Walk-Toward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=344&cvid=
"Movement, Space & LeadershipBehaviors involved in maintaining spatial proximity, initiating group movement or influencing its timing, direction or form.",Walk-Wait (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=298&cvid=MjMwOSwyMzYz
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Allo-Trunk-Sucking (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=6&cvid=MTA0
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Blow-Bubbles (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=303&cvid=NDcwLDQ3MQ==
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Circus-Pose (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=40&cvid=NjQ2LDY0Nyw2NDgsNjQ5LDY1MCw2NTE=
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Croaking (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=58&cvid=
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Pharyngeal-Pouch-Suck (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=180&cvid=
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Squeak (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=410&cvid=MjgwNiwyODA3
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Squeal-Trumpet (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=389&cvid=MjM0MA==
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Squelch (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=278&cvid=MjgwOCwyODA5
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Stand-Over-Bush (14),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=252&cvid=MjI0LDIyNSwyMjYsMjI3LDIyOCwyMjksMjMwLDIzMSwyMzIsMjMzLDIzNCwyMzUsMjM2LDIzNw==
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Tail-Swatting (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=261&cvid=NjE0LDYxNQ==
Novel & IdiosyncraticNovel or invented behaviors or those peculiar to an individual or group.,Truck-Like-Call (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=269&cvid=
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Bark (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=339&cvid=
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Baroo-Rumble (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=10&cvid=MTk0MCwxOTQxLDIzMTE=
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Grumble-Rumble (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=117&cvid=MTA4OCwxMDg5LDEwOTAsMTA5MSwxMDkyLDIxNTI=
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Head-Shaking (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=123&cvid=MjE2Mw==
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Husky-Cry (8),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=129&cvid=MTA3NywxMDc4LDEwNzksMTA4MCwxODIwLDE4MjEsMTgyMiwyMjgw
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Open-Mouth (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=168&cvid=MTk5NywxOTk4
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Protest-Trumpet (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=392&cvid=MjMyMg==
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Pulsated-Trumpet (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=189&cvid=MTg3OQ==
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Roar (21),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=205&cvid=MTA1OSwxMDYwLDEwNjEsMTA2MiwxMDYzLDEwNjQsMTA2NSwxMDY2LDEwNjcsMTY1MywxNjU0LDE2NTUsMjAzNiwyMDM3LDIwMzgsMjAzOSwyMTcxLDIxNzIsMjE3MywyMzUzLDI3Nzk=
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Separated-Rumble (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=231&cvid=MjMyOSwyNzg5LDI3OTAsMjc5MQ==
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Social-Trumpet (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=247&cvid=MTE5Ng==
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Trumpet (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=334&cvid=
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",V8-Rumble (7),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=294&cvid=MTI1NiwxNTUwLDE1NTEsMTU1MiwyMzA4LDI4NTgsMjg1OQ==
"Protest & DistressBehaviors, primarily vocalizations, given when in pain, or when complaining or protesting at some perceived wrong.",Walk-Toward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=344&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Adorn-Body (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=387&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Allo-Check-Tusk (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=4&cvid=MTAyLDEzODU=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Back-Toward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=9&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Bathing (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=11&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Bite-Trunk (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=16&cvid=NDY4LDQ2OQ==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Blow-Bubbles (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=303&cvid=MjE5MQ==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Bow-Neck (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=29&cvid=MTAwOQ==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Bush-Bashing (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=31&cvid=MTI2NiwxMjY3LDIxOTc=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Check-Temporin (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=327&cvid=MTMyNg==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Check-Tusk (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=36&cvid=MTAxNCwxMDE1
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Chin-Out (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=38&cvid=NDcyLDQ3Myw0NzQsMTg2Nw==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Circus-Pose (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=40&cvid=MTM5MiwxNjc0LDE4NjgsMTg2OQ==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Clamber (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=370&cvid=MTgzMywxODM0LDE4MzUsMTgzNg==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Climb-Upon (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=41&cvid=MTIyNSwxMjI2LDEyMjcsMTk3NQ==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Displacement-Feeding (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=65&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Displacement-Grooming (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=66&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Driving (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=69&cvid=MTcwMg==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Ear-Spreading (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=77&cvid=MTg3
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Ears-Stiff (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=80&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Eyes-Wide (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=91&cvid=ODQ4
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Flop-Trunk-On-Head (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=99&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Follow (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=358&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Foot-Forward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=102&cvid=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Foot-Scuffing (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=105&cvid=MTcyMQ==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Forward-Trunk-Swing (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=108&cvid=MTQwMCwyMTQ3LDI3MjQ=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Grasp-Leg (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=111&cvid=MTE5NywxMTk4LDExOTk=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Grasp-Tail (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=112&cvid=MTIwNCwxMjA1LDE4NTU=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Grasp-Trunk (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=113&cvid=MTg1Mg==
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Grasp-Tusk (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=114&cvid=MTg1MywxODU0
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Head-Dip (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=118&cvid=MTEzMiwxMTMzLDExMzQ=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Head-Shaking (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=123&cvid=MzYxLDM2MiwzNjM=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Head-Waggling (7),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=127&cvid=MzcwLDM3MSwzNzIsMzczLDM3NCwyMTY0LDIxNjU=
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Kick-Back (5),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=132&cvid=MTM3OSwxMzgwLDEzODEsMTgxMywxODE0
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Kick-Dust (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=133&cvid=NDY3
"Social PlayBehaviors employed in play in which individuals engagein exaggerated, loose, or floppy movements,running when there is no reason to flee nor object to attain, engaging in sexual behavior without coitus, fighting in friendly encounters that avoid injury.",Kneel-Down (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=136&cvid=MTY0NiwxNjQ3LDI3MTU=
